_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Year,month,Active Status,Duration
228,Craiglee Nursing Home,102 Craiglee Dr,Ltch,Enteric,Unable to identify,Unknown,2020-07-12,2020-07-28,2020,2020-07,Resolved,16.0
229,Runnymede Healthcare Centre - 3rd Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-07-01,2020-07-13,2020,2020-07,Resolved,12.0
230,Presentation Manor,61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,Unknown,2020-06-30,2020-07-03,2020,2020-06,Resolved,3.0
231,"West Park Healthcare Centre - Ccc - 2w-D, 2w-E, 2w-F (Cavc U",82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-06-30,2020-07-17,2020,2020-06,Resolved,17.0
232,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-06-30,2020-08-14,2020,2020-06,Resolved,45.0
233,Elm Grove Living Centre,35 Elm Grove Ave,Ltch,Enteric,Unable to identify,Unknown,2020-06-30,2020-07-07,2020,2020-06,Resolved,7.0
234,Kensington Gardens - South Bldg - 4 East & West,25 Brunswick Ave,Ltch,Respiratory,COVID-19,Unknown,2020-06-27,2020-07-11,2020,2020-06,Resolved,14.0
235,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2020-06-26,2020-07-10,2020,2020-06,Resolved,14.0
236,"Tendercare Living Centre - 2nd, 3rd, 4th, 5th  Fl",1020 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2020-06-25,2020-07-09,2020,2020-06,Resolved,14.0
237,Humber Valley Terrace,95 Humber College Blvd,Ltch,Enteric,Unable to identify,Unknown,2020-06-25,2020-07-07,2020,2020-06,Resolved,12.0
238,Harmony Hills Care Community - 2A,1800 O'Connor Dr,Ltch,Respiratory,COVID-19,Unknown,2020-06-24,2020-07-11,2020,2020-06,Resolved,17.0
239,Unity Health Toronto - St. Joseph's Health Centre - 6m,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-06-23,2020-07-20,2020,2020-06,Resolved,27.0
240,Wesburn Manor - 400 The West Mall - 2020-06-18,400 The West Mall,Ltch,Respiratory,COVID-19,Unknown,2020-06-18,2020-06-30,2020,2020-06,Resolved,12.0
241,William Osler Health System - 6 Med Flex,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-06-17,2020-07-13,2020,2020-06,Resolved,26.0
242,The Rekai Centres At Sherbourne Place - 4th Fl,345 Sherbourne St,Ltch,Respiratory,COVID-19,Unknown,2020-06-16,2020-06-28,2020,2020-06,Resolved,12.0
243,Fairview Nursing Home,14 Cross St,Ltch,Respiratory,COVID-19,Unknown,2020-06-16,2020-06-30,2020,2020-06,Resolved,14.0
244,Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,Ltch,Respiratory,COVID-19,Unknown,2020-06-15,2020-06-27,2020,2020-06,Resolved,12.0
245,Fudger House - 2 East,439 Sherbourne St,Ltch,Respiratory,COVID-19,Unknown,2020-06-13,2020-06-27,2020,2020-06,Resolved,14.0
246,Chartwell Trilogy Ltc - 1st Fl,340 McCowan Rd,Ltch,Respiratory,COVID-19,Unknown,2020-06-12,2020-06-26,2020,2020-06,Resolved,14.0
247,Chester Village - 3rd Fl East Wing,3555 Danforth Ave,Ltch,Respiratory,COVID-19,Unknown,2020-06-10,2020-07-03,2020,2020-06,Resolved,23.0
248,True Davidson Acres - 2nd Fl E,200 Dawes Rd,Ltch,Respiratory,COVID-19,Unknown,2020-06-10,2020-07-13,2020,2020-06,Resolved,33.0
249,Nisbet Lodge,740 Pape Ave,Ltch,Respiratory,COVID-19,Unknown,2020-06-10,2020-08-07,2020,2020-06,Resolved,58.0
250,Pine Villa Transitional Care - 2nd Fl,1035 Eglinton Ave W,Ltch,Respiratory,COVID-19,Unknown,2020-06-05,2020-06-20,2020,2020-06,Resolved,15.0
251,Seven Oaks - Entire Faciility,9 Neilson Rd,Ltch,Respiratory,COVID-19,Unknown,2020-06-05,2020-06-23,2020,2020-06,Resolved,18.0
252,Chartwell Scartlett Heights,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,Unknown,2020-06-03,2020-06-22,2020,2020-06,Resolved,19.0
253,Leaside Retirement Residence - Bldg 10 - 2nd & 3rd Fl,10/14 Willian Morgan Dr,Retirement Home,Respiratory,COVID-19,Unknown,2020-06-02,2020-07-03,2020,2020-06,Resolved,31.0
254,Baycrest Apotex Centre - Jewish Home for the Aged - POD 6EI,3560 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2020-06-01,2020-06-12,2020,2020-06,Resolved,11.0
255,Baycrest Apotex Centre - Jewish Home for the Aged - Apotex 3,3560 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2020-06-01,2020-06-13,2020,2020-06,Resolved,12.0
256,Tony Stacey Centre for Veteran's Care,59 Lawson Rd,Ltch,Respiratory,Unable to identify,Unknown,2020-06-01,2020-06-22,2020,2020-06,Resolved,21.0
257,Dowling Retirement Home,124 Dowling Ave,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-28,2020-06-06,2020,2020-05,Resolved,9.0
258,Deerwood Creek Care Community - 3rd Fl A Side,70 Humberline Dr,Ltch,Respiratory,COVID-19,Unknown,2020-05-28,2020-06-07,2020,2020-05,Resolved,10.0
259,Cedarvale Terrace,429 Walmer Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-28,2020-06-10,2020,2020-05,Resolved,13.0
260,West Park Long Term Care Centre - 2nd & 3rd Fl,82 Buttonwood Ave,Ltch,Respiratory,COVID-19,Unknown,2020-05-28,2020-07-04,2020,2020-05,Resolved,37.0
261,Garden Court Nursing Home,1 Sand Beach Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-27,2020-07-17,2020,2020-05,Resolved,51.0
262,Retirement Suites By The Lake,2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-26,2020-06-10,2020,2020-05,Resolved,15.0
263,Kensington Gardens - 3rd Fl,25 Brunswick Ave,Ltch,Respiratory,COVID-19,Unknown,2020-05-26,2020-06-15,2020,2020-05,Resolved,20.0
264,Presentation Manor - 1st & 2nd Fl,61 Fairfax Cres,Ltch,Respiratory,COVID-19,Unknown,2020-05-22,2020-06-12,2020,2020-05,Resolved,21.0
265,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-05-22,2020-06-12,2020,2020-05,Resolved,21.0
266,Amica at Bayview Gardens - 3rd to 8th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-21,2020-06-04,2020,2020-05,Resolved,14.0
267,William Osler Health System - Etobicoke General Hospital -,101 Humber College Blvd - 7 East,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-05-19,2020-06-06,2020,2020-05,Resolved,18.0
268,Dom Lipa Nursing Home - K Wing & Retirement Home,52 Neilson Dr,Ltch,Respiratory,COVID-19,Unknown,2020-05-18,2020-06-07,2020,2020-05,Resolved,20.0
269,Castleview Wychwood Towers - 7th Fl,351 Christie St,Ltch,Respiratory,COVID-19,Unknown,2020-05-17,2020-07-01,2020,2020-05,Resolved,45.0
270,Yee Hong Centre (Scarborough Finch) - 6th Fl,60 Scottfield Dr,Ltch,Respiratory,COVID-19,Unknown,2020-05-15,2020-05-18,2020,2020-05,Resolved,3.0
271,Cheltenham Care Community - 1st Fl,5935 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2020-05-15,2020-05-27,2020,2020-05,Resolved,12.0
272,Westside - 4th Fl,1145 Albion Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-14,2020-06-14,2020,2020-05,Resolved,31.0
273,Kennedy Lodge Nursing Home - Convalescent Unit,1400 Kennedy Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-13,2020-05-18,2020,2020-05,Resolved,5.0
274,Toronto Western Hospital - Emergency Dept,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-05-13,2020-05-22,2020,2020-05,Resolved,9.0
275,Baycrest Hospital - 7 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-05-13,2020-05-25,2020,2020-05,Resolved,12.0
276,Hellenic Care for Seniors,215 Tyrrel Ave,Ltch,Respiratory,COVID-19,Unknown,2020-05-13,2020-06-18,2020,2020-05,Resolved,36.0
277,Fieldstone Commons Care Community,1000 Ellesmere Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-13,2020-06-22,2020,2020-05,Resolved,40.0
278,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-13,2020-07-03,2020,2020-05,Resolved,51.0
279,Mon Sheong Scarborough,2030 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2020-05-12,2020-05-23,2020,2020-05,Resolved,11.0
280,"Chartwell Trilogy Long Term Care Residence - 2nd, 3rd, 5th -",340 McCowen Rd - & 7th Fl,Ltch,Respiratory,COVID-19,Unknown,2020-05-12,2020-05-25,2020,2020-05,Resolved,13.0
281,"The Briton House Retirement Home - Rm 300, 5th, 10th, 11th &",720 Mount Pleasant Rd - 12th Fl,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-12,2020-05-26,2020,2020-05,Resolved,14.0
282,Better Living at Thompson House,1 Overland Dr,Ltch,Respiratory,COVID-19,Unknown,2020-05-12,2020-05-31,2020,2020-05,Resolved,19.0
283,The Dunfield Retirement Residence,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-09,2020-05-20,2020,2020-05,Resolved,11.0
284,Reactivation Care Centre - Southlake Regional Health Centre,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-05-09,2020-05-28,2020,2020-05,Resolved,19.0
285,The Annex Retirement Residence,129 Spadina Rd,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-08,2020-05-23,2020,2020-05,Resolved,15.0
286,Toronto Western Hospital - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-05-08,2020-06-01,2020,2020-05,Resolved,24.0
287,Chartwell Grenadier Retirement Residence - Assisted Living,2100 Bloor St W - Section - 4 Fls,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-07,2020-05-31,2020,2020-05,Resolved,24.0
288,Ivan Franko Home,767 Royal York Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-06,2020-05-19,2020,2020-05,Resolved,13.0
289,"Leaside Retirement Residence - 2nd, 3rd, 4th & 7th Fl",10 William Morgan Dr - Bldg 10,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-06,2020-05-26,2020,2020-05,Resolved,20.0
290,The Heritage Nursing Home - 1st Fl,1195 Queen St E,Ltch,Respiratory,COVID-19,Unknown,2020-05-05,2020-05-13,2020,2020-05,Resolved,8.0
291,Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Respiratory,COVID-19,Unknown,2020-05-05,2020-05-19,2020,2020-05,Resolved,14.0
292,North York General Hospital - 8 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-05-05,2020-05-19,2020,2020-05,Resolved,14.0
293,Reactivation Care Centre - Southlake Regional Health Centre,2111 Finch Ave - 5 East,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-05-04,2020-05-24,2020,2020-05,Resolved,20.0
294,Tendercare Living Centre - 2nd Fl,1020 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2020-05-04,2020-05-25,2020,2020-05,Resolved,21.0
295,North Park Nursing Home - 2nd Fl,450 Rustic Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-03,2020-05-18,2020,2020-05,Resolved,15.0
296,Scarborough Health Network - General Hospital - H3CP,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-05-03,2020-05-21,2020,2020-05,Resolved,18.0
297,Tony Stacey Centre for Veteran's Care,59 Lawson Rd,Ltch,Respiratory,COVID-19,Unknown,2020-05-01,2020-05-15,2020,2020-05,Resolved,14.0
298,Fudger House,439 Sherbourne St,Ltch,Respiratory,COVID-19,Unknown,2020-05-01,2020-05-21,2020,2020-05,Resolved,20.0
299,Vermont Square - 7th Fl,914 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2020-05-01,2020-06-04,2020,2020-05,Resolved,34.0
300,The Russell Hill Retirement Residence - 6th Fl,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-30,2020-05-08,2020,2020-04,Resolved,8.0
301,Carefree Lodge - Garden Level,306 Finch Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-30,2020-05-15,2020,2020-04,Resolved,15.0
302,Toronto Western Hospital - Uhn - 8a / 8b,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-30,2020-05-16,2020,2020-04,Resolved,16.0
303,Toronto Western Hospital - 3B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-30,2020-05-20,2020,2020-04,Resolved,20.0
304,Kingsway Retirement Residence,4251 Dundas St W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-30,2020-06-06,2020,2020-04,Resolved,37.0
305,Rockcliffe Care Community,3015 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-30,2020-06-06,2020,2020-04,Resolved,37.0
306,Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-29,2020-05-15,2020,2020-04,Resolved,16.0
307,Cummer Lodge,205 Cummer Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-29,2020-05-19,2020,2020-04,Resolved,20.0
308,Toronto General Hospital - Uhn - 6es,200 Elizabeth St,Hospital-Acute Care,Enteric,Clostridium difficile,Unknown,2020-04-28,2020-05-11,2020,2020-04,Resolved,13.0
309,Reactivation Care Centre - William Osler - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-28,2020-06-02,2020,2020-04,Resolved,35.0
310,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-27,2020-05-11,2020,2020-04,Resolved,14.0
311,North York General Hospital - 5 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-27,2020-05-27,2020,2020-04,Resolved,30.0
312,Fountain View Care Community - 1st Fl - Terrace Unit,1800 O'Connor Dr,Ltch,Respiratory,COVID-19,Unknown,2020-04-26,2020-05-12,2020,2020-04,Resolved,16.0
313,Reactivation Care Centre - Mackenzie Health - 3 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-26,2020-05-17,2020,2020-04,Resolved,21.0
314,The Wexford Residence - 2nd Fl,1860 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-25,2020-05-08,2020,2020-04,Resolved,13.0
315,Amica at Bayview Village,15 Barberry Pl,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-24,2020-05-14,2020,2020-04,Resolved,20.0
316,"St George Care Community - Entire Facility As Of May 2, 2020",225 St George St,Ltch,Respiratory,COVID-19,Unknown,2020-04-24,2020-06-23,2020,2020-04,Resolved,60.0
317,Extendicare Guildwood,60 Guildwood Pky,Ltch,Respiratory,COVID-19,Unknown,2020-04-24,2020-07-05,2020,2020-04,Resolved,72.0
318,Extendicare Rouge Valley - Cedar Ridge,551 Conlins Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-23,2020-05-08,2020,2020-04,Resolved,15.0
319,Belmont House,55 Belmont St,Ltch,Respiratory,COVID-19,Unknown,2020-04-23,2020-05-11,2020,2020-04,Resolved,18.0
320,William Osler Health System - Etobicoke General Hospital - 9,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-23,2020-05-11,2020,2020-04,Resolved,18.0
321,"Cedarvale Terrace - Mainfl, 2nd,3rd,5th, 6th",429 Walmer Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-21,2020-05-17,2020,2020-04,Resolved,26.0
322,Villa Colombo,40 Playfair Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-21,2020-08-07,2020,2020-04,Resolved,108.0
323,Scarborough Health Network - General Hospital - H2C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-20,2020-05-03,2020,2020-04,Resolved,13.0
324,Castleview Wychwood Towers - 6th Fl,351 Christie St,Ltch,Respiratory,COVID-19,Unknown,2020-04-20,2020-05-12,2020,2020-04,Resolved,22.0
325,Wesburn Manor - 2nd Fl,400 The West Mall,Ltch,Respiratory,COVID-19,Unknown,2020-04-20,2020-05-27,2020,2020-04,Resolved,37.0
326,Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-18,2020-05-11,2020,2020-04,Resolved,23.0
327,Runnymede Healthcare Centre - 2nd Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-18,2020-05-22,2020,2020-04,Resolved,34.0
328,Downsview Long Term Care Centre,3595 Keele St,Ltch,Respiratory,COVID-19,Unknown,2020-04-17,2020-06-18,2020,2020-04,Resolved,62.0
329,Shepherd Lodge - 5th Fl,3760 Sheppard Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-16,2020-05-01,2020,2020-04,Resolved,15.0
330,Forestview Retirement Residence - 2nd Fl,537 Finch Ave W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-16,2020-06-02,2020,2020-04,Resolved,47.0
331,Sunnybrook Health Sciences Centre - C5,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-15,2020-04-30,2020,2020-04,Resolved,15.0
332,Craiglee Nursing Home,102 Craiglee Dr,Ltch,Respiratory,COVID-19,Unknown,2020-04-15,2020-06-09,2020,2020-04,Resolved,55.0
333,Reactivation Care Centre - Sunnybrook - A3S,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-14,2020-05-16,2020,2020-04,Resolved,32.0
334,Maynard Nursing Home,28 Halton St,Ltch,Respiratory,COVID-19,Unknown,2020-04-14,2020-05-27,2020,2020-04,Resolved,43.0
335,Extendicare Scarborough,3830 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-14,2020-06-15,2020,2020-04,Resolved,62.0
336,St. Michael's Hospital (Unity Health Toronto) - In-Centre Di,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-13,2020-05-11,2020,2020-04,Resolved,28.0
337,McCall Centre for Continuing Care - 3 & 4 West,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-13,2020-05-19,2020,2020-04,Resolved,36.0
338,Sisters of St. Joseph,22 O'Connor Dr,Ltch,Respiratory,COVID-19,Unknown,2020-04-13,2020-05-20,2020,2020-04,Resolved,37.0
339,L'Chaim Retirement Home - 3rd Fl,718 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-13,2020-05-29,2020,2020-04,Resolved,46.0
340,Sagecare Retirement Home - Entire Facility,147 Elder St,Retirement Home,Respiratory,Coronavirus*,Unknown,2020-04-12,2020-05-07,2020,2020-04,Resolved,25.0
341,Copernicus Lodge - 2 South,66 Roncesvalles Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-12,2020-04-15,2020,2020-04,Resolved,3.0
342,Chester Village - 4th Fl,3555 Danforth Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-12,2020-04-22,2020,2020-04,Resolved,10.0
343,St. Joseph's Health Centre - ICU,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-12,2020-04-26,2020,2020-04,Resolved,14.0
344,Yee Hong Centre - Scarborough McNicoll - 1st Fl,2311 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-12,2020-05-04,2020,2020-04,Resolved,22.0
345,Hazelton Place Retirement Residence - 6th Fl,111 Avenue Rd,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-12,2020-05-07,2020,2020-04,Resolved,25.0
346,The Claremont Retirement Residence - Entire Faciility,305 Balliol St,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-12,2020-05-07,2020,2020-04,Resolved,25.0
347,Main Street Terrace,77 Main St,Ltch,Respiratory,COVID-19,Unknown,2020-04-11,2020-05-15,2020,2020-04,Resolved,34.0
348,Harold and Grace Baker Centre,1 Northwestern Ave,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-11,2020-05-24,2020,2020-04,Resolved,43.0
349,The Salvation Army - Toronto Grace Health Centre - 5th Fl,650 Church St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-10,2020-05-11,2020,2020-04,Resolved,31.0
350,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-10,2020-05-20,2020,2020-04,Resolved,40.0
351,The O'Neill Centre,33 Christie St,Ltch,Respiratory,COVID-19,Unknown,2020-04-10,2020-05-20,2020,2020-04,Resolved,40.0
352,Bradgate Arms,54 Foxbar Ave,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-10,2020-05-31,2020,2020-04,Resolved,51.0
353,Hellenic Home,2411 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-10,2020-06-23,2020,2020-04,Resolved,74.0
354,Valleyview Residence,541 Finch Ave W,Ltch,Respiratory,COVID-19,Unknown,2020-04-09,2020-05-14,2020,2020-04,Resolved,35.0
355,New Horizons Tower,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-09,2020-06-01,2020,2020-04,Resolved,53.0
356,Ina Grafton Gage Home,40 Bell Estate Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-09,2020-07-08,2020,2020-04,Resolved,90.0
357,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-07,2020-04-21,2020,2020-04,Resolved,14.0
358,Labdara Lithuanian Nursing Home,8 Ressurection Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-07,2020-05-01,2020,2020-04,Resolved,24.0
359,Amica on the Avenue,1066 Avenue Rd,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-07,2020-05-12,2020,2020-04,Resolved,35.0
360,Bendale Acres,2920 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2020-04-07,2020-05-14,2020,2020-04,Resolved,37.0
361,Humber Valley Terrace,95 Humber College Blvd,Ltch,Respiratory,COVID-19,Unknown,2020-04-07,2020-06-16,2020,2020-04,Resolved,70.0
362,Ukrainian Canadian Care Centre,60 Richview Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-07,2020-07-11,2020,2020-04,Resolved,95.0
363,Queens Estates Retirement Community - Transitional Care  Reh,265 Queens Dr,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-06,2020-04-23,2020,2020-04,Resolved,17.0
364,The Russell Hill Retirement Residence,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-06,2020-04-30,2020,2020-04,Resolved,24.0
365,Weston Terrace Care Community,2005 Lawrence Ave W,Ltch,Respiratory,COVID-19,Unknown,2020-04-06,2020-07-12,2020,2020-04,Resolved,97.0
366,Midland Gardens Care Community,130 Midland Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-06,2020-07-17,2020,2020-04,Resolved,102.0
367,Wesburn Manor - 3N & 4th Fl,400 The West Mall,Ltch,Respiratory,Rhinovirus,Unknown,2020-04-06,2020-04-26,2020,2020-04,Resolved,20.0
368,The Wexford - 7th Fl,1860 Lawrence Ave E,Ltch,Respiratory,Unable to identify,Unknown,2020-04-06,2020-04-15,2020,2020-04,Resolved,9.0
369,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus*,Unknown,2020-04-05,2020-04-13,2020,2020-04,Resolved,8.0
370,The Rekai Centre at Wellesley,160 Wellesley St E,Ltch,Respiratory,COVID-19,Unknown,2020-04-04,2020-06-05,2020,2020-04,Resolved,62.0
371,Isabel and Arthur Meighen Manor,155 Millwood Rd,Ltch,Respiratory,COVID-19,Unknown,2020-04-04,2020-06-08,2020,2020-04,Resolved,65.0
372,Forest Hill Place - 8th Fl & Lower Level,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-03,2020-04-23,2020,2020-04,Resolved,20.0
373,Centre For Addiction And Mental Health - Queen Site - Gau-A,80 Workman Way,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2020-04-03,2020-05-05,2020,2020-04,Resolved,32.0
374,Centre For Addiction And Mental Health - Queen Site - Unit 3,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2020-04-03,2020-05-07,2020,2020-04,Resolved,34.0
375,Sunnybrook,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2020-04-03,2020-05-18,2020,2020-04,Resolved,45.0
376,Norwood Long Term Care,122 Tyndall Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-03,2020-05-21,2020,2020-04,Resolved,48.0
377,Mon Sheong Home for the Aged,36 D'Arcy St,Ltch,Respiratory,COVID-19,Unknown,2020-04-03,2020-06-05,2020,2020-04,Resolved,63.0
378,Valley View Residence,541 Finch Ave W,Ltch,Respiratory,Metapneumovirus,Unknown,2020-04-03,2020-04-12,2020,2020-04,Resolved,9.0
379,Dom Lipa - 2 West,52 Neilson Dr,Ltch,Respiratory,COVID-19,Unknown,2020-04-02,2020-05-06,2020,2020-04,Resolved,34.0
380,The Westbury,495 The West Mall,Ltch,Respiratory,COVID-19,Unknown,2020-04-02,2020-06-02,2020,2020-04,Resolved,61.0
381,Chartwell White Eagle Long Term Residence,138 Dowling Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-02,2020-06-04,2020,2020-04,Resolved,63.0
382,Chartwell Lansing Retirement Residence - 2nd Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-01,2020-04-16,2020,2020-04,Resolved,15.0
383,Sunnybrook Holland Orthopaedic And Arthritic Centre - Hoac -,43 Wellesley St E,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2020-04-01,2020-04-16,2020,2020-04,Resolved,15.0
384,"Christie Gardens Apartments & Care - 1st, 5th & 8th Fl",600 Melita Cres,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-01,2020-05-19,2020,2020-04,Resolved,48.0
385,Queens Estate Retirement Residence,265 Queens Dr,Retirement Home,Respiratory,COVID-19,Unknown,2020-04-01,2020-05-19,2020,2020-04,Resolved,48.0
386,Harold and Grace Baker Centre - A & C Wing,1 Northwestern Ave,Ltch,Respiratory,COVID-19,Unknown,2020-04-01,2020-05-24,2020,2020-04,Resolved,53.0
387,Lakeshore Lodge Nursing Home,3197 Lakeshore Blvd W,Ltch,Respiratory,COVID-19,Unknown,2020-04-01,2020-06-03,2020,2020-04,Resolved,63.0
388,"The Heritage Nursing Home - 1st, 2nd & 3rd Fls",1195 Queen St E,Ltch,Respiratory,Metapneumovirus,Unknown,2020-04-01,2020-04-14,2020,2020-04,Resolved,13.0
389,Queens Estate Retirement Residence,265 Queens Dr,Retirement Home,Enteric,Unable to identify,Unknown,2020-04-01,2020-04-10,2020,2020-04,Resolved,9.0
